Year,Source,Domain,Contribution,Trust/Context Signals,Evaluation,Gap Relevant to This Study,DOI/URL
2020,NIST SP 800-207,Enterprise / architecture,Zero Trust reference architecture,"Identity, device, endpoint security, analytics, policy",Reference architecture,Does not prescribe one standardized enterprise endpoint trust algorithm,10.6028/NIST.SP.800-207
2022,"Syed et al., IEEE Access",Survey / critical infrastructure,Comprehensive Zero Trust survey,"Authentication, access control, trust/risk, automation",Survey,Identifies trust/risk computation as an active challenge,10.1109/ACCESS.2022.3174679
2024,"Bhattarai et al., NAECON",Smart grid / AMI,Trust-score-based ZTA,Multiple user/device/network attributes,Case study,Domain-specific; motivates multi-attribute scoring,10.1109/NAECON61878.2024.10670642
2024,"Albomi et al., IEEE ICMI",Service mesh,Risk-adaptive access control,Runtime trust and service risk,Demonstration,Service-to-service rather than enterprise endpoint focus,10.1109/ICMI60790.2024.10585800
2026,"Ruambo et al., Computers & Electrical Engineering",Systematic review,Trust-scoring algorithm review,"Context, device posture, behavior, threat intelligence",33-study SLR,"Reports fragmentation, weak standardization, scale/validation/adversarial gaps",10.1016/j.compeleceng.2026.111002
2019,"González-Manzano et al., ACM Computing Surveys",Continuous authentication / IoT,Survey of continuous authentication,Behavioral and device-related signals,58-paper survey,Supports continuous confidence beyond one-time authentication,10.1145/3314023
2020,"Dimitrakos et al., IEEE TrustCom",Consumer IoT,Trust-aware continuous authorization,Runtime contextual trust and authorization,Architecture / conference study,Supports continuous reevaluation but not enterprise endpoint missing-data evaluation,10.1109/TRUSTCOM50675.2020.00247
2025,"Jha et al., IEEE Transactions on Cloud Computing",Cloud client machines,Runtime Zero-Trust machine-state verification,System state / integrity changes,"Azure validation; AWS scalability to 128 concurrent clients",Motivates runtime freshness and scalability but does not study multidimensional enterprise endpoint missing evidence,10.1109/TCC.2024.3503358
1970,"Chow, IEEE Transactions on Information Theory",Pattern recognition / decision theory,Formalizes optimum recognition error versus reject trade-off,Classifier confidence / rejection decision,Analytical theory,Provides theoretical basis for treating STEP_UP as abstention but is not an access-control model,10.1109/TIT.1970.1054406
2006,"Herbei and Wegkamp, Canadian Journal of Statistics",Statistical classification,Develops classification with a reject option for ambiguous observations,Conditional class probabilities / reject action,Statistical theory,Supports uncertainty-aware abstention framing but does not address device trust or enterprise access,10.1002/cjs.5550340410
2020,"Mena et al., IEEE Access",Machine learning / uncertainty,Adds uncertainty-based rejection wrappers around black-box classifiers,Uncertainty score / accept-reject decision,"Experiments across NLP and computer-vision tasks",Supports cost-bearing abstention and robustness framing; not an enterprise access-control or endpoint-trust model,10.1109/ACCESS.2020.2996495
2018,"Nosek et al., PNAS",Research methodology / reproducibility,Defines preregistration as committing research questions and analysis plans before observing outcomes,Study design / analysis choices,Methodological perspective,Supports explicit separation of exploratory synthetic development from later confirmatory external evaluation,10.1073/pnas.1708274114
2023,"Kapoor and Narayanan, Patterns",Machine learning / reproducibility,Taxonomy and cross-field analysis of data leakage in ML-based science,"Training/test separation, temporal order, feature legitimacy",Survey plus reproducibility case study,Supports temporal holdout and claim-boundary controls for external telemetry evaluation,10.1016/j.patter.2023.100804
